日期時間,自動氣象站,相對濕度（百分比）,氣溫（攝氏）,平均海平面氣壓（百帕斯卡）,十分鐘平均風向（方位點）,十分鐘平均風速（公里/小時）,十分鐘最高陣風風速（公里/小時）
202410161510,上水,,32.8,,,,
202410161510,九龍城,,28.9,,,,
202410161510,京士柏,,28.1,,,,
202410161510,元朗公園,,32.6,,,,
202410161510,北潭涌,,28.4,,,,
202410161510,啟德跑道公園,,28.3,,,,
202410161510,坪洲,,28.8,,,,
202410161510,大埔,,29.8,,,,
202410161510,大帽山,,21.7,,,,
202410161510,大美督,,28.3,,,,
202410161510,大老山,,22.4,,,,
202410161510,大隴,,30.5,,,,
202410161510,天文台,,29.0,,,,
202410161510,將軍澳,,28.3,,,,
202410161510,屯門,,30.1,,,,
202410161510,山頂,,25.2,,,,
202410161510,打鼓嶺,,30.8,,,,
202410161510,昂坪,,,,,,
202410161510,橫瀾島,,27.3,,,,
202410161510,沙田,,28.6,,,,
202410161510,流浮山,,32.3,,,,
202410161510,深水埗,,29.4,,,,
202410161510,清水灣,,26.7,,,,
202410161510,滘西洲,,27.4,,,,
202410161510,濕地公園,,31.5,,,,
202410161510,石崗,,30.5,,,,
202410161510,筲箕灣,,27.1,,,,
202410161510,荃灣可觀,,28.7,,,,
202410161510,荃灣城門谷,,29.3,,,,
202410161510,西貢,,28.0,,,,
202410161510,觀塘,,27.7,,,,
202410161510,赤柱,,27.7,,,,
202410161510,赤鱲角,,30.8,,,,
202410161510,跑馬地,,28.7,,,,
202410161510,長洲,,27.5,,,,
202410161510,青衣,,29.6,,,,
202410161510,香港公園,,27.9,,,,
202410161510,黃大仙,,,,,,
202410161510,黃竹坑,,28.6,,,,
202410161520,上水,52.0,,1012.8,,,
202410161520,中環碼頭,,,,東南,22.0,32.0
202410161520,九龍城,72.0,,,,,
202410161520,京士柏,73.0,,,東,15.0,23.0
202410161520,北潭涌,74.0,,,,,
202410161520,北角,,,,東,23.0,33.0
202410161520,南丫島,,,,東,17.0,27.0
202410161520,啟德,,,,東南,19.0,29.0
202410161520,啟德跑道公園,71.0,,,,,
202410161520,坪洲,71.0,,1013.2,東,23.0,30.0
202410161520,塔門,,,,東南,30.0,36.0
202410161520,大埔,73.0,,1013.8,,,
202410161520,大埔滘,,,,東南,16.0,26.0
202410161520,大美督,,,,東南,13.0,22.0
202410161520,大老山,,,,東南,24.0,35.0
202410161520,大隴,62.0,,,,,
202410161520,天文台,71.0,,1013.5,,,
202410161520,天星碼頭,,,,東,23.0,32.0
202410161520,將軍澳,75.0,,,東南,10.0,22.0
202410161520,屯門,52.0,,,東南,21.0,31.0
202410161520,打鼓嶺,60.0,,1012.8,東南,9.0,17.0
202410161520,昂坪,,,,東,30.0,42.0
202410161520,橫瀾島,79.0,,1013.5,東,28.0,34.0
202410161520,沙洲,,,,東南,27.0,33.0
202410161520,沙田,74.0,,1013.5,東南,10.0,18.0
202410161520,流浮山,54.0,,1012.8,東南,12.0,23.0
202410161520,清水灣,79.0,,,,,
202410161520,滘西洲,77.0,,,,,
202410161520,濕地公園,55.0,,1012.5,東,7.0,17.0
202410161520,石崗,62.0,,1012.7,東北,18.0,30.0
202410161520,筲箕灣,77.0,,,,,
202410161520,西貢,76.0,,,東南,13.0,21.0
202410161520,赤柱,,,,東南,22.0,32.0
202410161520,赤鱲角,52.0,,1012.9,東南,28.0,38.0
202410161520,長洲,82.0,,1013.7,東,29.0,42.0
202410161520,長洲泳灘,,,,東,29.0,36.0
202410161520,青洲,,,,東北,26.0,39.0
202410161520,青衣,64.0,,,東南,12.0,21.0
202410161520,香港公園,72.0,,,,,
202410161520,香港航海學校,,,,東,24.0,38.0
202410161520,黃竹坑,73.0,,,東,11.0,19.0
